HEADER
TripType,RoadDist,ElevationChange
Good,31,61
Good,25,256
Good,25,59
Good,22,113
Good,20,248
Good,19,229
Good,17,139
Good,16,165
Good,15,262
Good,13,319
Good,12,370
Good,7,414
Good,16,131
Good,20,62
Good,17,245
Good,14,377
Good,7,370
Good,23,75
Good,23,136
Good,27,21
Good,13,157
Good,16,322
Good,18,203
Bad,13,293
Bad,24,84
Bad,29,89
Bad,24,239
Bad,25,291
Bad,29,282
Bad,30,237
Bad,27,239
Bad,27,187
Bad,30,185
Bad,32,137
Bad,29,136
Bad,30,108
Bad,33,69
Bad,31,82
Bad,35,98
Bad,35,53
Bad,35,25
Bad,32,24
